uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
97566479-d121-5146-8547-baf7df1bc4f6,Essen Hauptbahnhof,,ICE 100 InterCityExpress,S Ostbahnhof (Berlin),0:04,0:09,5.0,True
0ecc474a-2fdb-5e7e-8c05-2675ca209895,Essen Hauptbahnhof,,ICE 524 InterCityExpress,Dortmund Hbf,0:25,0:35,10.0,True
41294df4-ee67-54b8-bf4c-c42f447d0513,Bochum Hbf,,ICE 524 InterCityExpress,Dortmund Hbf,0:35,0:45,10.0,True
35b86a41-57a0-536f-89d2-8d959838ad8c,Dortmund Hbf,,ICE 209 InterCityExpress,Köln Hbf,0:32,1:00,28.0,True
079c8bfb-6754-5c36-86a9-cd0db1d03e46,Dortmund Hbf,,ICE 100 InterCityExpress,S Ostbahnhof (Berlin),0:33,0:34,1.0,True
864bac32-8594-5ebb-979e-c4ff82c45f24,Düsseldorf Hbf,17,ICE 524 InterCityExpress,Dortmund Hbf,23:59,0:11,12.0,True
c4f35f67-4fb7-5496-ad40-e6ec74be4e25,Düsseldorf Hbf,,ICE 842 InterCityExpress,Köln Hbf,0:09,,,True
962b6127-bbe7-533e-aa77-b0bb055367e6,Düsseldorf Hbf,,ICE 619 InterCityExpress,München Hbf,0:30,2:27,117.0,True
1aa3da7b-db16-5271-80a5-2bf9fab96393,Bochum Hbf,3,ICE 921 InterCityExpress,Frankfurt (Main) Hauptbahnhof,1:57,2:00,3.0,True
21405e8c-c96c-541a-8d72-edc1e145b38f,Dortmund Hbf,,ICE 921 InterCityExpress,Frankfurt (Main) Hauptbahnhof,1:45,1:47,2.0,True
eb773359-12c3-5e35-86f8-490657c6812a,Essen Hauptbahnhof,,ICE 921 InterCityExpress,Frankfurt (Main) Hauptbahnhof,2:09,2:12,3.0,True
6367003e-34ae-58db-a137-2ead09b65e63,Duisburg Hbf,4,ICE 921 InterCityExpress,Frankfurt (Main) Hauptbahnhof,2:22,2:37,15.0,True
837d6ae9-6ac5-5ced-98df-ff3d5ab750fe,Dortmund Hbf,,ICE 920 InterCityExpress,Hamburg Altona,3:32,3:54,22.0,True
76e2dfb9-1b2a-5592-9ea4-eb36a7b95105,Duisburg Hbf,,ICE 920 InterCityExpress,Hamburg Altona,2:51,3:19,28.0,True
4421c72d-75c9-5150-b2b0-79bc18ad3f7b,Bochum Hbf,5,ICE 920 InterCityExpress,Hamburg Altona,3:16,3:41,25.0,True
50b015f4-373d-5bdd-81a1-93c58a46b7d2,Dortmund Hbf,16,ICE 523 InterCityExpress,München Hbf,4:05,,,True
2e72b31d-f777-5657-9649-6d9c8bc3ebee,Essen Hauptbahnhof,,ICE 920 InterCityExpress,Hamburg Altona,3:06,3:32,26.0,True
7bacc777-f315-514d-a067-9e87280793c2,Düsseldorf Hbf,,ICE 920 InterCityExpress,Hamburg Altona,2:33,3:03,30.0,True
209701cb-cd13-5c7c-a830-176fc990649e,Düsseldorf Hbf,,ICE 921 InterCityExpress,Frankfurt (Main) Hauptbahnhof,2:44,3:01,17.0,True
ac750306-b6dd-55dc-9741-c8ce87875c15,Bochum Hbf,3,ICE 523 InterCityExpress,München Hbf,4:18,,,True
5a62befa-8582-5025-b8f0-78105962b327,Essen Hauptbahnhof,2,ICE 523 InterCityExpress,München Hbf,4:30,,,True
7f078895-08d8-57ba-b531-f7a6b02cb69e,Duisburg Hbf,3,ICE 523 InterCityExpress,München Hbf,4:43,4:44,1.0,True
62245447-8d98-5176-8769-f910c0253076,Essen Hauptbahnhof,6,ICE 541 InterCityExpress,S Ostbahnhof (Berlin),5:18,,,True
8b4505a1-8ab0-52a7-9bfc-816e70ee204a,Essen Hauptbahnhof,,ICE 541,Berlin Ostbahnhof,5:18,,,True
aa9b326b-7ecb-5afb-9bd7-5eb4c9b4e813,Dortmund Hbf,20,ICE 525 InterCityExpress,München Hbf,5:23,,,True
